run,seed,vgg19_accuracy,densenet169_accuracy
1,43,78.23,87.02
2,44,80.45,88.62
3,45,79.63,87.58
4,46,83.33,90.93
5,47,80.11,87.83
6,48,81.29,87.82
7,49,78.40,86.05
8,50,80.99,88.05
9,51,79.46,87.47
10,52,83.87,90.09
11,53,81.70,91.26
12,54,83.48,90.03
13,55,78.54,88.34
14,56,83.80,92.03
15,57,78.26,86.61
16,58,81.48,88.31
17,59,79.35,89.08
18,60,79.85,88.16
19,61,80.97,89.19
20,62,83.57,90.26
21,63,80.67,87.85
22,64,80.86,89.38
23,65,80.49,87.64
24,66,78.42,86.16
25,67,78.45,87.51
26,68,82.45,92.21
27,69,82.11,88.49
28,70,83.46,90.63
29,71,79.94,88.42
30,72,78.44,86.82
31,73,79.68,87.69
32,74,83.16,91.22
33,75,80.71,88.45
34,76,80.22,90.02
35,77,82.79,90.10
