seed,densenet169,vgg19
43,81.05,89.65
44,79.15,82.74
45,81.08,91.21
46,90.89,79.96
47,88.84,83.39
48,86.17,89.01
49,78.67,85.02
50,86.25,90.83
51,80.42,79.87
52,82.07,87.09
53,81.01,90.72
54,88.86,83.61
55,88.85,81.11
56,88.48,89.67
57,78.57,79.98
58,80.11,90.89
59,80.79,86.11
60,91.35,83.02
61,79.77,88.02
62,85.62,79.17
63,89.14,81.87
64,88.69,83.04
65,78.16,79.99
66,82.12,85.32
67,89.34,79.76
68,88.56,78.7
69,88.38,91.35
70,82.44,78.76
71,90.14,81.1
72,83.93,91.12
73,80.53,85.86
74,79.68,81.66
75,86.87,79.96
76,85.03,90.96
77,86.51,91.17
